serial_no,procedure_name,non_nabh_rate,nabh_rate
1,Consultation OPD,350,350
2,Consultation- for Inpatients,350,350
3,Dressings of wounds,50,58
4,Suturing of wounds with local anaesthesia,108,124
5,Aspiration Plural Effusion - Diagnostic,120,138
6,Aspiration Plural Effusion - Therapeutic,193,222
7,Abdominal Aspiration - Diagnostic,345,397
8,Abdominal Aspiration - Therapeutic,460,529
9,Pericardial Aspiration,380,437
10,Joints Aspiration,317,365
11,Biopsy Skin,230,265
12,Removal of Stitches,36,41
13,Venesection,124,143
14,Phimosis Under LA,1311,1508
15,Sternal puncture,173,199
16,Injection for Haemorrhoids,414,476
17,Injection for Varicose Veins,350,403
18,Urinary bladder Catheterisation,425,500
19,Dilatation of Urethra,500,575
20,Incision & Drainage,420,483
21,Intercostal Drainage,125,144
22,Peritoneal Dialysis,1466,1686
23,Excision of Moles,345,397
24,Excision of Warts,310,357
25,Excision of Molluscum contagiosum,130,150
26,Excision of Venereal Warts,160,184
27,Excision of Corns,140,161
28,Intradermal (ID) Injection Keloid (Intralesional Injection),97,112
29,Chemical Cautery (s),110,127
30,Subconjunctival/subtenon’s injections in one eye,69,79
31,Subconjunctival/subtenon’s injections in both eyes,138,158
32,Pterygium Surgery,5500,6325
33,Conjunctival Peritomy,58,67
34,Conjunctival wound repair or exploration following blunt trauma,3300,3795
35,Removal of corneal foreign body,115,132
36,Cauterization of ulcer/subconjunctival injection in one eye,69,79
40,Cyanoacrylate /fibrin glue application for corneal perforation,690,794
41,Bandage contact lenses for corneal perforation,460,529
42,Scleral grafting or conjunctival flap for corneal perforation,2300,2645
43,Keratoconus correction with therapeutic contact lenses,1200,1380
44,Ultraviolet (UV) radiation for cross-linking for keratoconus,1800,2070
45,EDTA for band shaped keratopathy,863,992
46,Arcuate keratotomy for astigmatism,2800,3220
47,Re-suturing (Primary suturing) of corneal wound,1150,1323
48,Penetrating keratoplasty with glaucoma surgery,12144,13966
49,Penetrating keratoplasty with vitrectomy,12144,13966
50,Penetrating keratoplasty with IOL implantation,13656,15703
51,DALK- Deep anterior lamellar keratoplasty,17250,19838
52,Keratoprosthesis stage I and II,11500,13225
53,DSAEK Descemet’s stripping automated endothelial keratoplasty,16675,19176
54,ALTK- Automated lamellar therapeutic keratoplasty  16500,,18975
55,Probing and Syringing of lacrimal sac- in one eye,69,79
56,Probing and Syringing of lacrimal sac- in both eye,138,159
57,Dacryocystorhinostomy-Plain,2875,3306
58,Dacryocystorhinostomy-Plain with intubation and/or with lacrimal implants,9750,11213
59,Dacryocystorhinostomy-conjunctival with implant,9200,10580
60,Caliculoplasty,2300,2645
61,Dacryocystectomy,1725,1984
62,Punctal plugs for dry eyes,130,150
63,Refraction,40,46
64,Indirect Ophthalmoscopy (Fundoscopy),67,77
65,Orthoptic check-up- with synoptophore,44,51
66,Lees’ charting or Hess’ charting,100,115
67,Orthoptic exercises,50,58
68,Pleoptic exercises,50,58
69,Perimetry (Visual Field Testing) -Goldman,144,166
70,Perimetry /Humphrey Visual Field (HVF ) test-Automated,144,166
71,Fluorescein angiography for fundus or iris,920,1058
72,Ultrasound A- Scan,863,992
73,Ultrasound B- Scan,230,265
74,Fundus Photo Test,200,230
75,Indocyanin green angiography,920,1058
79,Auto-refraction,35,40
80,Macular function tests,44,51
81,Potential acuity metry,100,115
82,Laser interferometry,173,199
83,OCT-Optical coherence tomography,2125,2500
84,HRT- Heidelberg’s retinal tomogram,150,173
85,GDx Nerve fibre layer analysis,88,101
86,UBM- Ultrasound bio microscopy,150,173
87,Non Contact tonometry (NCT),50,58
88,IOP measurement with schiotz,30,35
89,IOP measurement with applanation tonometry,50,58
90,Three mirror examination for retina,58,67
91,90 D lens examination,50,58
92,Gonioscopy,58,67
93,Chalazion incision and curettage in one eye,400,460
94,Chalazion incision and curettage in both eyes,431,496
95,Ptosis surgery with fasanella servat procedure,2300,2645
96,Ptosis surgery with LPS resection one lid,5500,6325
97,Ptosis surgery with Sling surgery one lid,6670,7671
98,Ectropion surgery- one lid,1400,1610
99,Ectropion surgery- both lids,2500,2875
100,Epicanthus correction,1550,1783
101,Cantholysis and canthotomy,575,662
102,Entropion surgery- one lid,1380,1587
103,Entropion surgery- both lids,2000,2300
104,Tarsorraphy,650,748
105,Suturing of lid lacerations,1150,1323
106,Lid retraction repair,1700,1955
107,Concretions removal,115,132
108,Bucket handle procedure for lid tumors,345,397
109,Cheek rotation flap for lid tumors,6900,7935
110,Orbitotomy,8050,9258
111,Enucleation,3000,3450
112,Enucleation with orbital implants and artificial,3000,3450
113,Evisceration,3450,3968
114,Evisceration with orbital implants and artificial prosthesis,5693,6547
115,Telecanthus correction,5175,5951
116,Orbital decompression,5750,6613
117,Exenteration,5750,6613
118,Exenteration with skin grafting,6900,7935
119,Fracture orbital repair,9200,10580
120,Retinal laser procedures,1500,1725
121,Retinal detachment surgery (RDS),11500,13225
122,Retinal detachment surgery (RDS) with scleral buckling,13800,15870
123,Buckle removal,1150,1323
124,Silicone oil removal,2800,3220
125,Anterior retinal cryopexy,1162,1336
126,Squint correction for one eye,5000,5750
131,Trephination,2300,2645
132,Goniotomy,345,397
133,Glaucoma surgery with Glaucoma valves,6900+valve,7935 +valve
134,Cyclocryotherapy,1150,1323
135,YAG laser iridotomy,1500,1725
136,YAG laser capsulotomy,1093,1257
137,ALT-Argon laser trabeculoplasty,1495,1719
138,PDT-Photodymic therapy,3450,3968
139,TTT- Transpupillary thermal therapy,3000,3450
140,PTK- Phototherapeutic keratectomy,7500,8625
141,Argon/diode laser for retinal detatchment,1150,1323
142,Intralase application for keratoconus,5750,6613
143,EOG- electro-oculogram,900,1035
144,ERG- Electro-retinogram,794,913
145,VEP- visually evoked potential,800,920
146,Vitrectomy- pars plana,11500,13225
147,Intravitreal injections of antibiotics,1150,1323
148,Intravitreal Injection of drugs (Ranibizumab/Aflibercept etc) excluding cost of drug,3000,3450
149,X Ray orbit,115,132
150,CT orbit and brain,1600,1840
151,MRI- Orbit and brain,3450,3968
152,Dacryocystography,340,391
153,Orbital angio-graphical studies,1500,1725
154,Extracapsular cataract extraction (ECCE) with IOL,3450,3968
155,Small Incision Cataract Surgery (SICS) with IOL,5000,5750
156,Phaco with foldable IOL (silicone and acrylic)/PMMA IOL,10781,12398
157,Pars plana lensectomy with/without IOL,10350,11903
158,Secondary IOL implantation- AC IOL PC IOL or scleral fixated IOL,6900,7935
159,Cataract extraction with IOL with capsular tension rings (Cionni’s ring),13500,15525
160,Optic nerve sheathotomy,7500,8625
161,Iridodialysis repair or papillary reconstruction,5000,5750
162,Iris cyst removal,850,978
163,Lid Abscess incision and Drainage,1700,1955
164,Orbital Abscess incision and Drainage,3000,3450
165,Biopsy (eye),460,529
166,Paracentesis (eye),230,265
167,Scleral graft for scleral melting or perforation,2800,3220
168,Amniotic membrane grafting,1100,1265
169,Cyclodiathermy,2300,2645
170,Intraocular foreign body removal,187,215
171,Electrolysis (eye),230,265
172,Perforating injury repair (eye),4500,5175
173,Botulinum injection for blepharospasm or squint,2500,2875
177,Reduction & immobilization of Fracture-Mandible Under LA,3500,4025
178,Splints/Circummandibular wiring under LA,510,587
179,Splints/Circummandibular wiring under GA,990,1139
180,Internal wire fixation/plate fixation of Maxilla under LA,3000,3450
181,Internal wire fixation/plate fixation of Maxilla under GA,4000,4600
182,Internal wire fixation/plate fixation of Mandible under LA,3500,4025
183,Internal wire fixation/plate fixation of Mandible under GA,4250,4888
184,Extraction per tooth under LA,80,92
185,Complicated Extraction per Tooth under LA,100,115
186,Extraction of impacted tooth under LA,160,184
187,Extraction in mentally retarded/patients with systemicdiseases/patient with special needs under short term GA,939,1080
188,Cyst & tumour of Maxilla /mandible by enucleation/excision/ marsupialisation upto 4 cms under LA,244,281
189,Cyst & tumour of Maxilla / mandible by enucleation /excision / marsupialisation size more than 4 cms under LA,406,467
190,Cyst & tumour of Maxilla/mandible by enucleation / excision / marsupialisation size more than 4 cms under GA,1000,1150
191,TM joint ankylosis- under GA,7500,8625
192,Biopsy Intraoral-Soft tissue,374,430
193,Biopsy Intraoral-Bone,374,430
194,Hemi-mandibulectomy with graft,21000,24150
195,Hemi-mandibulectomy without graft,21000,24150
196,Segmental-mandibulectomy with graft,3400,3910
197,Segmental-mandibulectomy without graft,990,1139
198,Maxillectomy- Total with graft,2500,2875
199,Maxillectomy- Total without graft,1950,2243
200,Maxillectomy- partial with graft,3000,3450
201,Maxillectomy- partial without graft,2500,2875
202,Release of fibrous bands & grafting -in (OSMF) treatment under GA,1500,1725
203,Pre-prosthetic surgery- Alveoloplasty (per arch),500,575
204,Pre-prosthetic surgery - ridge augmentation (per arch),1200,1380
205,Root canal Treatment(RCT) Anterior teeth(per tooth)  500,,575
206,Root canal Treatment(RCT) Posterior teeth (per tooth),700,805
207,Apicoectomy- Single root,500,575
208,Apicoectomy-Multiple roots,650,748
209,Metal Crown-per unit,500,575
210,Metal Crown with Acrylic facing per unit,700,805
211,Complete single denture-metal based,1500,1725
212,Complete denture- acrylic based per arch,950,1093
216,Removable partial denture-Acrylic based-more than 3 teeth / Per tooth,264,304
217,Amalgam restoration-per tooth,200,230
218,Composite Restoration-per tooth-anterior tooth,250,288
219,Glass Ionomer filling-per tooth,200,230
220,Scaling & polishing,300,345
221,Removable Orthodontics appliance- per Arch,700,805
222,Fixed Orthodontics-per Arch,1150,1323
223,Space maintainers-Fixed,500,575
224,Habit breaking appliances-removable,800,920
225,Habit breaking appliances-Fixed,1500,1725
226,Expansion plate,1000,1150
227,Feeding appliance for cleft palate,1500,1725
228,Maxillo-facial prosthesis (sal /auricular/orbital/facial lost part),3500,4025
229,Functional orthodontic appliances,3000,3450
230,Obturator (Maxillo-facial),1500,1725
231,Occlusal night guard(splint),800,920
232,Pure Tone Audiogram / Pure Tone Audiometry / PTA  172,,198
233,Impedance with stepedial reflex / Impedance Audiometry,230,265
234,Short Increment Sensitivity Index (SISI) Tone Decay 132,,152
235,Multiple hearing assessment test to Adults,115,132
236,Speech Discrimination Score,90,103
237,Speech Assessment,120,138
238,Speech therapy per session of 30-40 minutes,131,151
239,Cold Calorie Test for Vestibular function,172,198
240,Removal of foreign body From Nose,345,397
241,Removal of foreign body From Ear,230,265
242,Syringing (Ear),166,191
243,Polyp removal under LA,575,661
244,Polyp removal under GA,850,978
245,Peritonsillar abscess Drainage under LA,1449,1666
246,Myringoplasty,6900,7935
247,Staepedectomy,9200,10580
248,Myringotomy with Grommet insertion,4600,5290
249,Tympanotomy,8625,9919
250,Tympanoplasty,13800,15870
251,Mastoidectomy,14950,17193
252,Otoplasty,16100,18515
253,Labyrinthectomy,13800,15870
254,Skull Base surgery,25000,28750
255,Facial Nerve Decompression,17250,19838
256,Septoplasty,5750,6613
257,Submucous Resection,7314,8411
258,Septo-rhinoplasty,16100,18515
259,Rhinoplasty- Non-cosmetic,11500,13225
260,Fracture Reduction of Nasal Bone,4250,5000
265,Septal Perforation Repair,13800,15870
266,Antrum Puncture,950,1093
267,Lateral Rhinotomy,1000,1150
268,Cranio-facial resection,25500,29325
269,Caldwell Luc Surgery (Radical Antrostomy for maxillary sinus),10626,12220
270,Angiofibroma Excision,17000,19550
271,Endoscopic Hypophysectomy,21500,24725
272,Endoscopic Optic Nerve Decompression,32775,37691
273,Decompression of Orbit,25500,29325
274,Punch/Wedge biopsy,674,775
275,Tonsillectomy,5000,5750
276,Uvulo-palatoplasty,15000,17250
277,Functional Endoscopic Sinus Surgery (FESS) for Antrochoanal polyp,5750,6613
278,Functional Endoscopic Sinus Surgery (FESS) for ethmoidal polyp,5750,6613
279,Polyp removal ear,748,860
280,Polyp removal Nose(Septal polyp),748,860
281,Mastoidectomy plus Ossiculoplasty including TORP(Total Ossicular Replacement Prosthesis) or PORP(Partial Ossicular Replacement Prosthesis),2415,2777
282,Endolymphatic sac decompression,2875,3306
282,Endolymphatic sac decompression,2875,3306
283,Diagnostic endoscopy under GA,2300,2645
284,Young's operation for Atrophic rhinitis,6900,7935
285,Vidian neurectomy for vasomotor Rhinitis,10350,11903
286,Nasal Packing-anterior,345,397
287,Nasal Packing-posterior,805,926
288,Ranula Excision,6843,7869
289,Tongue Tie excision,1500,1725
290,Sub Mandibular Duct Lithotomy,269,309
291,Adenoidectomy,5640,6486
292,Palatopharyngoplasty,8165,9390
293,Pharyngoplasty,17193,19772
294,Styloidectomy,9200,10580
295,Direct laryngoscopy including Biopsy under GA,5000,5750
296,Oesophagoscopy with foreign body removal from Oesophagus,1800,2070
297,Bronchoscopy with foreign body (FB) removal,2438,2804
298,Other Major Surgery-ENT,1500,17250
299,Other Minor Surgery-ENT,8500,10000
300,Ear Lobe Repair one side,500,575
301,Excision of Pinna for Growth (Squamous/Basal/Injuries) Skin Only,4000,4600
302,Excision of Pinna for Growth (Squamous/Basal/Injuries) Skin and Cartilage,3800,4370
322,Excision of mandible-segmental,15525,17854
323,Mandibulectomy,21000,24150
324,Partial Glossectomy,5520,6348
325,Hemiglossectomy,7000,8050
326,Total Glossectomy,22885,26318
327,Combined Mandibulectomy and Neck Dissection Operation (Commando Operation),22000,25300
328,Parotidectomy - Superficial,12075,13886
329,Parotidectomy - Total,15000,17250
330,Parotidectomy - Radical,19550,22483
331,Repair of Parotid Duct,11500,13225
332,Removal of Submandibular Salivary gland,8625,9919
333,Hemithyroidectomy,9500,10925
334,Partial Thyroidectomy (lobectomy),11500,13225
335,Subtotal Thyroidectomy,13053,15011
336,Total Thyroidectomy,19000,21850
337,Resection Enucleation of thyroid Adenoma,10580,12167
338,Total Thyroidectomy and Block Dissection,26450,30418
339,Excision of Lingual Thyroid,16882,19414
340,Excision of Thyroglossal Cyst/Fistula,13225,15209
341,Excision of Parathyroid Adenoma/Carcinoma,21275,24466
342,Laryngectomy,17825,20499
343,Laryngo Pharyngectomy,30000,34500
344,Hyoid Suspension,10350,11903
345,Genioplasty,12000,13800
346,Direct Laryngoscopy including biopsy under GA (Select CGHS rate Code 295 for approved rate),See code 295,See code 295
347,Phonosurgery,13800,15870
348,Fibreoptic examination of Larynx (FOL) under LA,1725,1984
349,Microlaryngeal Surgery,10350,11903
350,Laryngofissure,17250,19838
351,Tracheal Stenosis Excision,19780,22747
353,Benign Tumour Excisions,9500,10925
354,Temporal Bone subtotal resection,20700,23805
355,Modified Radical Neck Dissection,25300,29095
356,Carotid Body Excision,26000,29900
357,Total Laryngectomy,39192,45071
358,Flap Reconstructive Surgery,41400,47610
359,Parapharyngeal Tumour Excision,39330,45230
360,Other Major Surgery-Head and Neck Cancer,21250,25000
361,Other Minor Surgery-Head and Neck Cancer,5000,5750
362,Drainage of abscess,6000,6900
363,Excision of lumps,6969,8014
364,Local mastectomy-simple,12650,14548
365,Radical mastectomy-formal or modified.,28750,33063
366,Excision of mammary fistula,15525,17854
367,Segmental resection of breast,16100,18515
368,Other Major Surgery-Breast,25000,28750
369,Other Minor Surgery-Breast,5000,5750
370,Injury Of Superficial Soft Tissues,425,500
371,Suturing of small wounds,269,309
372,Secondary suture of wounds,3400,4000
373,Debridement of wounds,450,518
374,Removal Of Foreign Bodies,300,345
375,Excision of Cervical Lymph Node,1725,1984
376,Excision of Axillary Lymph Node,2277,2619
377,Excision of Inguinal Lymph Node,2277,2619
378,Excision Biopsy of Ulcers,1470,1691
379,Excision Biopsy of Superficial Lumps,3220,3703
380,Incision Biopsy of Growths/Ulcers,1470,1691
381,Trucut Needle Biopsy,1550,1783
382,Percutaneous Kidney Biopsy,1470,1691
383,Marrow Biopsy (Open),1060,1219
384,Muscle Biopsy ) (Select CGHS rate Code 1724 for approved rate),See code 1724,See code 1724
385,Scalene Node Biopsy,1350,1553
386,Excision of Sebaceous Cysts,1242,1428
387,Excision of Superficial Lipoma,1932,2222
388,Excision of Superficial Neurofibroma,2500,2875
389,Excision of Dermoid Cysts,2277,2619
390,Haemorrhoidectomy,20720,24375
391,Stappler haemorrhoidectomy,38000,43700
392,keloid excision,1150,1323
393,Varicose vein Surgery-Trendelenburg operation with suturing or ligation Fistula,10000,11500
395,Operations for Replacement of Oesophagus by Colon  25000,,28750
396,Oesophagectomy for Carcinoma Easophagus,25000,28750
397,Oesophageal Intubation (Mausseau Barbin Tube),11500,13225
398,Achalasia Cardia Transthoracic,14950,17193
399,Achalasia Cardia Abdominal,12650,14548
400,Oesophago Gastrectomy for mid 1/3 lesion,24495,28169
401,Heller’s Operation,19750,22713
402,Colon-Inter position or Replacement of Oesophagus,22540,25921
403,Oesophago Gastrectomy – Lower Corringers procedure,21390,24599
404,Other Major Surgery-Oesophagus,27625,32500
405,Other Minor Surgery-Oesophagus,5000,5750
406,Gastroscopy,1725,1984
407,Gastric & Duodenal Biopsy (Endoscopy and biopsy combined),1950,2243
408,Pyloromyotomy,2800,3220
409,Gastrostomy,8625,9919
410,Simple Closure of Perforated peptic Ulcer,9775,11241
411,Vagotomy Pyleroplasty / Gastro Jejunostomy,13800,15870
412,Duodenojejunostomy,18950,21793
413,Partial/Subtotal Gastrectomy for Carcinoma,23000,26450
414,Partial/Subtotal Gastrectomy for Ulcer,22425,25789
415,Operation for Bleeding Peptic Ulcer,20976,24122
416,Operation for Gastrojejunal Ulcer,19780,22747
417,Total Gastrectomy for Cancer,22368,25723
418,Highly Selective Vagotomy,18630,21425
419,Selective Vagotomy & Drainage,18630,21425
420,Congenital Diaphragmatic Hernia,18975,21821
421,Hiatus Hernia Repair- Abdominal,14490,16664
422,Hiatus Hernia Repair- Transthoracic,16100,18515
423,Exploratory Laparotomy,12650,14548
424,Epigastric Hernia Repair,11385,13093
425,Umbilical Hernia Repair,11385,13093
426,Ventral /incisional Hernia Repair,10293,11837
427,Inguinal Hernia Herniorrhaphy,14835,17060
428,Inguinal Hernia - Hernioplasty,16500,18975
429,Femoral Hernia Repair,18285,21028
430,"Rare Hernias Repair (Spigalion, Obturator, Lumbar, Sciatic)",18975,21821
431,Splenectomy - For Trauma,18975,21821
432,Splenectomy - For Hypersplenism,14490,16664
433,Splenorenal Anastomosis,23000,26450
434,Portocaval Anastomosis,28750,33063
435,Direct Operation on Oesophagus for Portal Hypertension,22885,26318
436,Mesentericocaval Anastomosis,25450,29268
437,Warren Shunt (Distal Splenorenal Shunt),28750,33063
441,Cholecystectomy,10292,11836
442,Cholecystectomy & Exploration of CBD,14375,16531
443,Repair of Common Bile Duct (CBD),13600,16000
444,Operation for Hydatid Cyst of Liver,11902,13687
445,Cholecystostomy,10292,11836
446,Hepatic Resections (Lobectomy /Hepatectomy),14375,16531
447,Operation on Adrenal Glands - Bilateral,26105,30021
448,Operation on Adrenal Glands - Unilateral,13800,15870
449,Appendicectomy,8108,9324
450,Appendicular Abscess – Drainage,9775,11241
451,Mesenteric Cyst- Excision,11040,12696
452,Peritonioscopy/Laparoscopy,4600,5290
453,Jejunostomy,5750,6613
454,Ileostomy,15410,17722
455,Resection & Anastomosis of Small Intestine,20700,23805
456,Duodenal Diverticulum,18400,21160
457,Operation for Intestinal Obstruction,10350,11903
458,Operation for Intestinal perforation,38000,43700
459,Benign Tumours of Small Intestine,19550,22483
460,Excision of Small Intestine Fistula,19550,22483
461,Operations for GI Bleed,16000,18400
462,Operations for Haemorrhage of Small Intestines,19550,22483
463,Operations of the Duplication of the Intestines,17825,20499
464,Operations for Recurrent Intestinal Obstruction (Noble Plication & Other Operations for Adhesions),23000,26450
465,Ileosigmoidostomy and related resection,16790,19309
466,Ileotransverse Colostomy and related resection,16790,19309
467,Caecostomy,3903,4488
468,Loop Colostomy Transverse Sigmoid,13110,15077
469,Terminal Colostomy,17250,19838
470,Closure of Colostomy,17480,20102
471,Right Hemicolectomy,13800,15870
472,Left Hemicolectomy,13800,15870
473,Total Colectomy,17250,19838
474,Operations for Volvulus of Large Bowel,24920,28658
475,Operations for Sigmoid Diverticulitis,18630,21425
476,Fissure in Ano with Internal sphinctrectomy with fissurectomy,13800,15870
477,Fissure in Ano - Fissurectomy,13800,15870
478,Rectal Polyp-Excision,5658,6507
479,Fistula in Ano - High Fistulectomy,16780,19297
480,Fistula in Ano - Low Fistulectomy,9867,11347
481,Prolapse Rectum - Thiersch Wiring,10350,11903
482,Prolapse Rectum - Rectopexy,5750,6613
483,Prolapse Rectum - Grahams Operation,18400,21160
484,Operations for Hirschsprungs Disease,14260,16399
485,Excision of Pilonidal Sinus (open),11500,13225
486,Excision of Pilonidal Sinus with closure,11500,13225
487,Abdomino-Perineal Excision of Rectum,18300,21045
488,Anterior Resection of rectum,21850,25128
489,Pull Through Abdominal Resection,17170,19746
494,Laparoscopic Splenectomy,25000,28750
495,Laparoscopic Removal of hydatid cyst,18000,20700
496,Laparoscopic treatment of Pseudo Pancreatic cyst,18000,20700
497,Laparoscopic Whipple's operation (LaparoscopicPancreatico Duodenectomy,20000,23000
498,Laparoscopic GI bypass operation,22000,25300
499,Laparoscopic Total Colectomy,25000,28750
500,Laparoscopic Hemicolectomy,23000,26450
501,Laparoscopic Anterior Resection (of Intestine/Rectum),23000,26450
502,Laparoscopic Cholecystectomy,18975,21821
503,Laparoscopic Appedicectomy,18000,20700
504,Laparoscopic Hernia inguinal repair,18000,20700
505,Laparoscopic ventral Hernia Repair,17500,20125
506,Laparoscopic Paraumbilical Hernia Repair,17500,20125
507,Laparoscopic Adrenelectomy,12000,13800
508,Laparoscopic Nephrectomy,22000,25300
509,Other Major Surgery-Abdomen/GI Surgery,38000,43700
510,Other Minor Surgery-Abdomen/GI Surgery,6000,6900
511,"Coronary Care with Cardiac Monitoring /ICU/CCU(For all categories of ward entitlement, inclusive of Room Rent)",4590,5400
512,Compressed air / piped oxygen /per hour,50,58
513,Ventilator charges (Per day),531,611
514,Paediatric care for New born (Per day),186,214
515,Incubator charges (Per day),345,397
516,Neonatal ICU charges (Per day),391,450
517,Resuscitation,184,212
518,Exchange Transfusion,265,305
519,Pneupack ventilator in Nursery (Per day),575,661
520,Atrial Septal Defect(ASD) closure,51808,59579
521,Ventricular septal defect (VSD) with graft,51808,59579
522,Tetralogy of Fallot (TOF)/TAPVC/TCPC/REV/RSOV repair,127075,146136
523,BD Glenn/Left atrium myxoma,80750,95000
524,Senning/Arterial Switch Operation (ASO) with graft  122188,,140516
525,Double Switch Operation (DSO),103615,119157
526,Atrioventricular(AV) canal repair,161000,185150
527,Fontan procedure,169000,194350
528,Conduit repair,169000,194350
529,Coronary Artery Bypass Graft surgery (CABG),127075,146136
530,Coronary Artery Bypass Graft surgery (CABG) +Intra-Aortic Balloon Pump (IABP),169000,194350
531,Coronary Artery Bypass Graft surgery (CABG) +Valve,169000,194350
532,CABG without bypass.(TVR) / Pulmonary valve replacement (PVR),140000,161000
536,Mitral valve (MV) Repair + Aortic valve (AV) Repair /Tricuspid Valve (TV) Repair + Pulmonary valve (PV) repair,103615,119157
537,Aorta femoral bypass,52000,59800
538,Blalock-Taussig shunt (BT Shunt) / Coarctation,51980,59777
539,Pulmonary Artery Banding (PA Banding) Septostomy  51980,,59777
540,Pericardectomy,42320,48668
541,Congenital cytomegalovirus (CMV)/ patent ductus arteriosus (PDA),51980,59777
542,Gunshot injury,51980,59777
543,Heart transplant,276000,317400
544,Balloon coronary angioplasty/PTCA with VCD,80600,92690
545,Balloon coronary angioplasty/PTCA without VCD,80000,92000
546,Rotablation,48875,56206
547,Balloon Valvotomy / Percutaneous transvenous mitral commissurotomy (PTMC),10264,11804
548,Cardiac Catheterization (CATH),10000,11500
549,Aortic Arch Replacement,10350,11903
550,Aortic Dissection,12650,14548
551,Thoraco Abdominal Aneurysm Repair,15000,17250
552,Embolectomy,21000,24150
553,Vascular Repair,36000,41400
554,Bentall Repair with Prosthetic Valve,30000,34500
555,Bentall Repair with Biologic Valve,127500,150000
556,Coaractation dilatation,14500,16675
557,Coaractation dilatation with Stenting,18500,21275
558,Temporary Pacemaker Implantation (TPI) (Temporary Cardiac Pacing) Single Chamber,7500,8625
559,Temporary Pacemaker Implantation (TPI) (Temporary Cardiac Pacing) Dual Chamber,8160,9600
560,Permanent pacemaker implantation (PPI)- Single Chamber,13800,15870
561,Permanent pacemaker implantation- Dual Chamber,19320,22218
562,Permanent pacemaker implantation (PPI)- Biventricular,34500,39675
563,Automatic implantable cardioverter defibrillator (AICD) Single Chamber,28750,33063
564,Automatic implantable cardioverter defibrillator (AICD) Dual Chamber,40000,46000
565,Combo device implantation,40000,46000
566,Diagnostic Electrophysiological studies conventional  4550,,5233
567,Ambulatory BP monitoring,587,690
568,External Loop/event recording,2848,3350
569,Radiofrequency (RF) ablation conventional,35000,40250
573,Intra vascular coils,46000,52900
574,Septostomy- Balloon,16150,19000
575,Septostomy- Blade,19550,22483
576,Aortic valve balloon dilatation (AVBD) / pulmonary valve balloon dilatation (PVBD),48300,55545
577,Digital subtraction angiography-Peripheral artery,11500,13225
578,Digital subtraction angiography- venogram,11500,13225
579,CT Guided biopsy,1265,1455
580,Sinogram,863,992
581,Peripheral Angioplasty with VCD,11500,13225
