serial_no,procedure_name,non_nabh_rate,nabh_rate
1082,Reduction of Fractures of Mandible & Maxilla - Gunning Splints,7500,8625
1083,Internal Wire Fixation of Mandible & Maxilla,11500,13225
1084,Cleft Lip - repair.,11500,13225
1089,Reconstruction of Eyelid Defects - Minor,6325,7274
1090,Reconstruction of Eyelid Defects - Major,8500,9775
1091,Plastic Surgery of Different Regions of the Ear Minor-,8050,9258
1092,Plastic Surgery of Different Regions of the Ear Major-,10350,11903
1093,Plastic Surgery of the Nose - Minor,8050,9258
1094,Plastic Surgery of the Nose - Major,9500,10925
1095,Plastic Surgery for Facial Paralysis (Support with Reanimation),16100,18515
1096,Pendulous Breast - Mammoplasty,13000,14950
1097,Underdeveloped Breast Mammoplasty,12000,13800
1098,After Mastectomy (Reconstruction) Mammoplasty,12000,13800
1099,Syndactyly Repair,12750,15000
1100,Dermabrasion Face,13225,15209
1101,upto 30% Burns 1st Dressing,152,175
1102,upto 30% Burns Subsequent Dressing,124,143
1103,30% to 50% Burns 1st Dressing,193,222
1104,30% to 50% Burns Subsequent Dressing,152,175
1105,Extensive Burn -above 50% Frist Dressing,276,317
1106,Extensive Burn -above 50% Subsequent dressing,193,222
1107,Plaster Work,255,300
1108,Fingers (post slab),259,298
1109,Fingers full plaster,259,298
1110,Colles Fracture - Below elbow,978,1125
1111,Colles Fracture - Full plaster,994,1143
1112,Colles fracture Ant. Or post. slab,400,460
1113,Above elbow full plaster,173,199
1114,Above Knee post-slab,575,288
1115,Below Knee full plaster,173,199
1116,Below Knee post-slab,718,826
1117,Tube Plaster (or plaster cylinder),800,920
1118,Above knee full plaster,1265,1455
1119,Above knee full slab,1158,1332
1120,Minerva Jacket,2415,2777
1121,Plaster Jacket,2185,2513
1122,Shoulder spica,1955,2248
1123,Single Hip spica,2243,2579
1124,Double Hip spica,2760,3174
1125,Strapping of Finger,179,206
1126,Strapping of Toes,180,207
1127,Strapping of Wrist,230,265
1128,Strapping of Elbow,262,301
1129,Strapping of Knee,345,397
1130,Strapping of Ankle,345,397
1131,Strapping of Chest,460,529
1132,Strapping of Shoulder,518,596
1133,Figure of 8 bandage,518,596
1134,Collar and cuff sling,255,300
1139,Application of Skeletal Tractions,949,1091
1140,Bandage & Strappings for Fractures,552,635
1141,Aspiration & Intra Articular Injections,575,661
1142,Application of POP Spices & Jackets,2473,2844
1143,Close Reduction of Fractures of Limb & POP,2600,2990
1144,Reduction of Compound Fractures,2760,3174
1145,Open Reduction & Internal Fixation (ORIF) of Fingers & Toes,5175,5951
1146,Open Reduction of fracture of Long Bones of Upper /Lower Limb -Nailing & External Fixation,8050,9258
1147,Open Reduction of fracture of Long Bones of Upper /Lower Limb -AO Procedures,9660,11109
1148,Tension Band Wirings,5658,6507
1149,Bone Grafting,6601,7591
1150,Excision of Bone Tumours,6900,7935
1151,Excision or other Operations for Scaphoid Fractures,7188,8266
1152,Sequestrectomy & Saucerisation,6900,7935
1153,Sequestrectomy & Saucerizations -Arthrotomy,9971,11467
1154,Multiple Pinning Fracture Neck Femur,11500,13225
1155,Plate Fixations for Fracture Neck Femur,13500,15525
1156,AO Compression Procedures for Fracture Neck Femur,16560,19044
1157,Open Reduction of Fracture Neck Femur Muscle Pedicle Graft and Internal Fixations,19500,22425
1158,Close Reduction of Dislocations,3174,3650
1159,Open Reduction of Dislocations,3439,3955
1160,Open Reduction & Internal Fixation (ORIF) of Fracture Dislocation,13500,15525
1161,Neurolysis/Nerve repair,13800,15870
1162,Nerve Repair with Grafting,16675,19176
1163,Tendon with Transplant or Graft,10350,11903
1164,Tendon Lengthening/Tendon repair,8050,9258
1165,Tendon Transfer,3105,3571
1166,Laminectomy Excision Disc and Tumours,4830,5555
1167,Split Osteotomy and Internal Fixations,24150,27773
1168,Anterolateral decompression for tuberculosis/ Costo-Transversectomy,3450,3968
1169,Anterolateral Decompression and Spine Fusion,19350,22253
1170,Corrective Osteotomy & Internal Fixation- short bones,13800,15870
1171,Corrective Osteotomy & Internal Fixation- long bones,11040,12696
1172,Arthrodesis of - Minor Joints,10350,11903
1173,Arthrodesis of - Major Joints,10000,11500
1174,Soft Tissue Operations for Congenital Talipes Equinovarus (CTEV),8050,9258
1175,Soft Tissue Operations for Polio,6900,7935
1176,Hemiarthroplasty- Hip,20000,23000
1177,Hemiarthroplasty- Shoulder,20000,23000
1178,Operations for Brachial Plexus & Cervical Rib,24150,27773
1179,Amputations - Below Knee,6900,7935
1184,Amputations -Hind Quarter and Hemipelvectomy,18400,21160
1185,Disarticulations - Major joint,20700,23805
1186,Disarticulations - Minor joint,12650,14548
1187,Arthrography,9200,10580
1188,Arthroscopy - Diagnostic,8568,9853
1189,Arthroscopy-therapeutic: without implant,10000,11500
1190,Arthroscopy-therapeutic: with implant,17250,19838
1191,Soft Tissue Operation on Joints -Small,6900,7935
1192,Soft Tissue Operation on Joints -Large,13500,15525
1193,Myocutaneous and Fasciocutaneous Flap Proceduresfor Limbs,18630,21425
1194,Removal of Wires & Screw,1760,2024
1195,Removal of Plates,4140,4761
1196,Total Hip Replacement (THR),79000,90850
1197,Total Ankle Joint Replacement (TAR),95400,109710
1198,Total Knee Joint Replacement (TKR),110000,126500
1199,Total Shoulder Joint Replacement,79000,90850
1200,Total Elbow Joint Replacement,79000,90850
1201,Total Wrist Joint Replacement,100000,115000
1202,Total finger joint replacement,20000,23000
1203,Tubular external fixator,4600,5290
1204,Ilizarov's external fixator,7763,8927
1205,Pelvi-acetabular fracture -Internal fixation,8625,9919
1206,Meniscectomy,12000,13800
1207,Meniscus Repair,10000,11500
1208,Anterior Cruciate Ligament (ACL) Reconstruction,8500,9775
1209,Posterior Cruciate Ligament (PCL) Reconstruction,13500,15525
1210,Knee Collateral Ligament Reconstruction,12500,14375
1211,Bankart Repair Shoulder,13200,15180
1212,Rotator cuff repair / RC repair,1500,1725
1213,Biceps tenodesis,14000,16100
1214,Distal biceps tendon repair,10380,11937
1215,Arthrolysis of knee,12500,14375
1216,Capsulotomy of Shoulder,15800,18170
1217,Conservative Plaster of Paris (POP),1200,1380
1218,Application for CTEV per sitting,1200,1380
1219,Total Hip Replacement (THR) Revision Stage-I,17000,19550
1220,Total Hip Replacement (THR) Revision Stage-II,50000,57500
1221,Total Knee Replacement (TKR) Revision Stage-I,35000,40250
1222,Total Knee Replacement (TKR) Revision Stage-II,35000,40250
1223,Illizarov/ external fixation for limb lengthening/deformity correction,12500,14375
1224,Discectomy/ Micro Discectomy,12500,14375
1225,Laminectomy,4646,5343
1226,Spinal Fixation Cervical/dorsolumbar/ lumbosacral,16000,18400
1227,Fusion Surgery Cervical/ Lumbar Spine upto 2 Level  22000,,25300
1228,Spinal Fusion Surgery Cervical/ Lumbar Spine -More than 2 Level,12000,13800
1229,Scoliosis Surgery/ Deformity Correction of Spine (Intertrochanteric Fractures),25000,28750
1234,Spinal Osteotomy,1434,1649
1235,Illizarov’s / External Fixation for Trauma,13000,14950
1236,Soft Tissue Operations for Polio/ Cerebral Palsy,10557,12420
1237,Mini Fixator for Hand/Foot,9000,10350
1238,Other Major Surgery-Orthopedics,38250,45000
1239,Other Minor Surgery-Orthopedics,11883,13980
1240,Ultrasonic therapy,78,90
1241,Shortwave Diathermy (SWD),78,90
1242,Electrical stimulation (therapeutic)/ Interferential therapy (IFT) /Transcutaneous Electrical Nerve Stimulation (TENS),78,90
1243,Muscle testing and diagnostic,71,82
1244,Infrared,78,90
1245,Ultraviolet Therapeutic (UV Therapeutic) dose,58,67
1246,Intermittent Lumbar Traction,78,90
1247,Intermittent Cervical traction,75,86
1248,Wax bath,75,86
1249,Hot pack,78,90
1250,Breathing Exercises & Postural Drainage,50,58
1251,Cerebral Palsy – exercise,50,58
1252,Post – polio exercise,50,58
1253,Cobalt 60 therapy,,
1254,Cobalt 60 therapy- Radical therapy,68425,78689
1255,Cobalt 60 therapy- Palliative therapy,24438,28104
1256,Linear accelerator,,
1257,Linear accelerator- Radical therapy,58650,67448
1258,Linear accelerator- Palliative therapy,34213,39345
1259,3D Planning Radiotherapy,4888,5621
1260,2D Planning Radiotherapy,4888,5621
1261,IMRT(Intensity Modulated radiotherapy),100878,116010
1262,SRT (Stereotactic radiotherapy),60996,70145
1263,SRS(Stereotactic radio surgery),80546,92628
1264,IGRT(Image guided radiotherapy),147016,169068
1268,Intracavitary (Brachytherapy),11730,13490
1269,Interstitial (Brachytherapy),58650,67448
1270,Intraluminal (Brachytherapy),9775,11241
1271,Surface mould (Brachytherapy),4644,5341
1272,Gliadel Wafer (Brachytherapy),93900,107985
1273,Neoadjuvant Chemotherapy,863,992
1274,Adjuvant Chemotherapy,863,992
1275,Concurrent-chemoradiation,920,1058
1276,Single drug Chemotherapy,552,635
1277,Multiple drugs Chemotherapy,897,1032
1278,Targeted therapy-Chemotherapy,920,1058
1279,Chemoport facility,920,1058
1280,PICC line (peripherally inserted Central Cannulisation),920,1058
1281,Upper GI Endoscopy (Gastro endoscopy /Esophagogastroduodenoscopy (EGD)+ Lower GI Endoscopy (Colonoscopy/Sigmoidoscopy),1725,1984
1282,Diagnostic endoscopy,250,288
1283,Endoscopic biopsy,345,397
1284,Endoscopic mucosal resection,1543,1815
1285,Oesophageal stricture dilatation,1725,1984
1286,Balloon dilatation of achalasia cardia,2875,3306
1287,Gastrointestinal (GIT) Foreign body removal,1725,1984
1288,Oesophageal stenting,3000,3450
1289,Band ligation of oesophageal varices,2500,2875
1290,Sclerotherapy of oesophageal varices,2500,2875
1291,Glue injection of varices,2500,2875
1292,Argon plasma coagulation,4025,4629
1293,Pyloric balloon dilatation,2415,2777
1294,Enteranal stenting,3680,4232
1295,Duodenal stricture dilation,990,1139
1296,Single balloon enteroscopy,4000,4600
1297,Double balloon enteroscopy,3500,4025
1298,Capsule endoscopy,4950,5693
1299,Piles banding,1099,1264
1300,Colonic stricture dilatation,2737,3148
1301,Hot biopsy forceps procedures,3000,3450
1302,Colonic stenting,2737,3148
1302,Colonic stenting,2737,3148
1303,Junction biopsy,2000,2300
1304,Conjugal microscopy,4000,4600
1305,Endoscopic sphincterotomy,2415,2777
1306,Common Bile Duct (CBD) stone extraction,2415,2777
1311,Pancreatic stricture dilatation,5750,6613
1312,Pancreatic stone extraction,10098,11613
1313,Mechanical lithotripsy of pancreatic stones,11385,13093
1314,Endoscopic cysto gastrostomy,8050,9258
1315,Balloon dilatation of papilla,6900,7935
1316,Ultrasound guided FNAC (Select CGHS rate Code See code 1603for approved rate),1400, 1603
1317,Ultrasound guided abscess Drainage,720,828
1318,Percutaneous Transhepatic Biliary Drainage (PTBD)  1150,,1323
1319,Diagnostic angiography,2000,2300
1320,Vascular embolization,15100,17365
1321,Transjugular Intrahepatic Portosystemic Shunt (TIPS)  5400,,6210
1322,Inferior vena cava (IVC) Venography and Hepatic vein (HV) Venography,34212,39344
1323,Muscular stenting,97750,112413
1324,Balloon-occluded Retrograde Intravenous Obliteration (BRTO),57500,66125
1325,Portal haemodymic studies,1913,2250
1326,Manometry and PH metry,1612,1897
1327,Oesophageal PH metry,5000,5750
1328,Oesophageal manometry,5000,5750
1329,Small bowel manometry,6800,8000
1330,Anorectal manometry,6800,8000
1331,Colonic manometry,7650,9000
1332,Biliary manometry,7650,9000
1333,Sengstaken Blakemore (SB) tube tamponade,2875,3306
1334,Lintas machles tube tempode,2875,3306
1335,Faecal / Fecal fat test/ fecal chymotrypsin/ fecal elastase,350,403
1336,Breath tests (Urea breath test/ H. pylori breath test),300,345
1337,Extracorporeal Shortwave Lithotripsy (ESWL)(Select CGHS rate Code 888 for approved rate),See code 888,See code 888
1338,Liver biopsy,1380,1587
1339,Dental IOPA X-ray,50,58
1340,Occlusal X-ray,78,90
1341,OPG X-ray,196,225
1342,Lung Ventilation & Perfusion Scan (V/Q Scan),3600,4140
1343,Lung Perfusion Scan,2000,2300
1344,Whole Body Bone Scan with SPECT.,3421,3934
1345,Three phase whole body Bone Scan radiopharmaceuticals.,3421,3934
1347,Radionuclide Cisternography for CSF leak,3740,4400
1348,Gastro esophageal Reflux Study (GER Study),1955,2248
1349,Gastro intestinal Bleed (GloB.) Study with Technetium 99m labeled RBCs.,3421,3934
1350,Hepatobiliary Scintigraphy.,2444,2811
1351,Meckel's Scan,1955,2248
1352,Hepatosplenic scintigraphy with Technetium-99m radiopharmaceuticals,1870,2200
1353,Gastric emptying,1275,1466
1354,Renal Cortical Scintigraphy with Technetium 99m Dimercaptosuccinic acid (DMSA),3421,3934
1355,Dynamic Renography.,3421,3934
1356,Dynamic Renography with Diuretic.,3421,3934
1357,Dynamic Renography with Captopril,1960,2254
1358,Testicular Scan,1466,1686
1359,Thyroid Uptake measurements with 131-Iodine.,1564,1799
1360,Thyroid Scan with Technetium 99m Pertechnetate.,1466,1686
1361,Iodine-131 Whole Body Scan,2933,3373
1362,Whole Body Scan with MIBG,17595,20234
1363,Parathyroid Scan,4888,5621
1364,131-Iodine Therapy,1530,1800
1365,131-Iodine Therapy <15mCi,3854,4432
1366,131-Iodine Therapy 15-50mCi,4956,5699
1367,131-Iodine Therapy 51-100mCi,12000,13800
1368,131-Iodine Therapy >100mCi,15000,17250
1369,Phosphorus-32 therapy for metastatic bone pain palliation,5000,5750
1370,Samarium-153 therapy for metastatic bone pain palliation,10450,12018
1371,Radiosynovectomy with Yttrium,21250,25000
1372,Stress thallium / Myocardial Perfusion Scintigraphy,9450,10868
1373,Rest thallium / Myocardial Perfusion Scintigraphy,8000,9200
1374,Venography,3300,3795
1375,Treadmill Test (TMT),489,562
1378,Scintimammography.,4800,5520
1379,Indium labelled octreotide Scan,73313,84310
1380,FDG Whole body PET / CT Scan (with or without contrast),20528,23607
1381,Brain / Heart FDG PET / CT Scan,14663,16862
1382,Gallium-68 Peptide PET / CT imaging for Neuroendocrine Tumor,15000,17250
1383,"Urine routine- pH, Specific gravity, sugar, protein and microscopy",35,40
1384,Urine Microalbumin,70,81
1385,Stool routine and Microscopy,35,40
1386,Stool occult blood,24,28
1387,Post coital smear examination,30,35
1388,Semen analysis,35,40
1389,Haemoglobin (Hb),18,21
1390,Total Leucocytic Count (TLC),31,36
1391,Differential Leucocytic Count (DLC),31,36
1392,Erythrocyte Sedimentation Rate (ESR),25,29
1393,"Total Red Cell count with MCV,MCH,MCHC,DRW  32",,37
1394,"Complete Haemogram/CBC, Hb,RBC count and indices,TLC, DLC, Platelet, ESR, Peripheral smear examination",135,155
1395,Platelet count,48,55
1396,Reticulocyte count,48,55
1397,Absolute Eosinophil count (AEC),48,55
1398,Packed Cell Volume (PCV),13,15
1399,Peripheral Smear Examination,43,49
1400,Smear for Malaria parasite,41,47
1401,Bleeding Time,35,40
1402,Osmotic fragility Test,50,58
1403,Bone Marrow Smear Examination,70,81
1404,Bone Marrow Smear Examination with iron stain,250,288
1405,Bone Marrow Smear Examination and cytochemistry 440,,506
1406,Activated partial ThromboplastinTime (APTT),102,117
1407,Rapid test for malaria(card test),44,51
1408,WBC cytochemistry for leukemia -Complete panel,110,127
1411,Factor Assays-Factor IX,680,782
1412,Platelet Function test,50,58
1413,"Tests for hypercoagulable states- Protein C, Protein S,Antithrombin",400,460
1414,Tests for lupus anticoagulant,150,173
1415,"Tests for Antiphospholipid antibody IgG, IgM (for cardiolipin and B2 Glycoprotein 1)",500,575
1416,Thalassemia studies (Red Cell indices and Hb HPLC)  560,,644
1417,Tests for Sickling / Hb HPLC),77,89
1418,Blood Group & RH Type,30,35
1419,Cross match,50,58
1420,Coomb’s Test Direct,90,104
1421,Coomb’s Test Indirect,100,115
1422,3 cell panel- antibody screening for pregnant female,170,200
1423,11 cells panel for antibody identification,170,200
1424,Hepatitis B surface antigen (HBsAg),102,120
1425,Hepatitis C virus (HCV),128,150
1426,Human immunodeficiency virus- HIV I and II,150,173
1427,Venereal Disease Research Laboratory test (VDRL),43,50
1428,RH Antibody titer,80,92
1429,Platelet Concentrate,56,64
1430,Random Donor Platelet(RDP)- (Select CGHS rate Code 1828 for approved rate),See code 1830,See code 1830
1431,Single Donor Platelet (SDP- Apheresis)- (Select CGHS rate Code 1830 for approved rate),See code 1830,See code 1830
1432,Routine-H & E,90,104
1433,special stain,65,75
1434,Immunohistochemistry(IHC),750,863
1435,Histopathology Examination (HPE) Frozen section,780,897
1436,Histopathology Examination (HPE) Paraffin section,343,394
1437,Pap Smear,150,173
1438,Body fluid for Malignant cells,150,173
1439,Fine Needle Aspiration Cytology (FNAC),200,230
1440,Leukemia panel /Lymphoma panel,1536,1766
1441,Paroxysmal Nocturnal Hemoglobinuria (PNH) Panel-CD55 CD59,1000,1150
1443,Fluorescent in situ hybridization (FISH),500,575
1444,Blood Glucose Random / Blood Glucose Fasting /Blood Glucose PP,24,28
1445,"24 hrs urine for Proteins,Sodium, creatinine",50,58
1446,Blood Urea Nitrogen (BUN) / Urea,54,62
1447,Serum Creatinine,55,63
1448,Urine Bile Pigment and Salt,25,29
1449,Urine Urobilinogen,20,23
1450,Urine Ketones,30,35
1451,Urine Occult Blood,35,40
1452,Urine total proteins,18,21
1453,Rheumatoid Factor / Rh Factor test,100,115
1454,Bence Jones protein,47,54
1455,Serum Uric Acid,55,63
1456,Serum Bilirubin total & direct,80,92
1457,Serum Iron,90,104
1458,C reactive Protein (CRP),100,115
1459,C reactive Protein (CRP) Quantitative,160,184
1460,"Body fluid (CSF/Ascitic Fluid etc.)Sugar, Protein etc.  90",,104
1460,"Body fluid (CSF/Ascitic Fluid etc.)Sugar, Protein etc.  90",,104
1461,Albumin.,18,21
1462,Creatinine clearance,80,92
1463,Serum Cholesterol,62,71
1464,Total Iron Binding Capacity (TIBC),80,92
1465,Glucose (Fasting & PP),47,54
1466,Serum Calcium –Total,60,69
1467,Serum Calcium –Ionic,44,51
1468,Serum Phosphorus,60,69
1469,Total Protein Albumin/Globulin ratio (A/G Ratio),50,58
1470,Immunoglobulin G (IgG),250,288
1471,Immunoglobulin M(IgM),250,288
1472,Immunoglobulin A(IgA),250,288
1473,Antinuclear antibody (ANA),200,230
1474,Anti-double stranded DNA (anti-dsDNA),350,403
1475,Serum glutamic pyruvic transaminase (SGPT) /Alanine Aminotransferase (ALT),55,63
1476,Serum Glutamic oxaloacetic transaminase (SGOT) /Aspartate Aminotransferase (AST),55,63
1477,Serum amylase,117,135
1478,Serum Lipase,130,150
1479,Serum Lactate,72,83
1480,Serum Magnesium,100,115
1481,Serum Sodium,50,58
1482,Serum Potassium,50,58
1483,Serum Ammonia,100,115
1484,Anemia Profile,204,240
1485,Serum Testosterone,150,173
1486,Imprint Smear From Endoscopy,240,276
1491,Foetal Haemoglobin (HbF),85,100
1492,Prothrombin Time (PT)/ International normalizedratio (INR),110,127
1493,Lactate dehydrogenase (LDH),100,115
1494,Alkaline Phosphatase,60,69
1495,Acid Phosphatase,78,90
1496,CPK MB/CK MB,190,219
1497,CK MB Mass/CPK MB Mass,140,161
1498,Troponin I,100,115
1499,Troponin T,600,690
1500,Glucose-6-Phosphate Dehydrogenase (G6PD),100,115
1501,Lithium.,130,150
1502,Dilantin (phenytoin).,400,460
1503,Carbamazepine.,400,460
1504,Valproic acid.,300,345
1505,Ferritin (Select CGHS rate code 1517 for approved rate),See code 1517,See code 1517
1506,Blood gas analysis / Arterial Blood Gas (ABG),120,138
1507,Blood gas analysis / Arterial Blood Gas (ABG) with electrolytes,460,529
1508,Urine pregnancy test,65,75
1509,Tests for Antiphospholipid antibodies syndrome.,280,322
1510,Glycosylated Haemoglobin (HbA1c),130,150
1511,Haemoglobin Electrophoresis/ Hb HPLC (Select CGHS rate,See code 1417,See code 1417
1512,Kidney Function Test (KFT),225,259
1513,Liver Function Test (LFT),225,259
1514,"Lipid Profile. (Total cholesterol, LDL, HDL,Triglycerides)",200,230
1515,Serum Iron,90,104
1516,Total Iron Binding Capacity (Select CGHS rate code1464),See code 1464,See code 1464
1517,Serum Ferritin,100,115
1518,Vitamin B12 assay.,250,288
1519,Folic Acid assay.,300,345
1520,"Extended Lipid Profile. (Total cholesterol, LDL,HDL, Triglycerides Apo A1,Apo B,Lp (a) )",595,684
1521,Apolipoprotein A1 (ApoA1),200,230
1522,Apolipoprotein B (Apo B),199,229
1523,Lipoprotein A / Lp A,445,512
1524,"CD 3,4 and 8 counts",170,200
1525,"CD 3,4 and 8 percentage",170,200
1526,Low density lipoprotein (LDL),62,71
1527,Homocysteine.,400,460
1528,Haemoglobin (Hb) Electrophoresis/ (Select CGHS rate code 1417 for approved rate),See code 1417,See code 1417
1529,Serum Electrophoresis,220,253
1530,Fibrinogen.,165,190
1535,Fructosamine.,200,230
1536,Beta 2 microglobulin (B2M) /β2 microglobulin,90,104
1537,Catecholamines,1050,1208
1538,Creatinine clearance (Select CGHS Rate Code 1462),See Code 1462,See Code 1462
1539,Prostate Specific antigen (PSA)- Total.,312,359
1540,Prostate-specific antigen (PSA) - Free.,375,431
1541,Alpha Fetoprotein (AFP),300,345
1542,Human chorionic gonadotropin (HCG)/ Beta HCG,289,332
1542,Human chorionic gonadotropin (HCG)/ Beta HCG,289,332
1543,Cancer Antigen 125 (CA 125),391,450
1544,Cancer Antigen 19.9 (CA 19.9),616,708
1545,Cancer Antigen 15.3 (CA 15.3),560,644
1546,Vanillylmandelic Acid (VMA),350,403
1547,Calcitonin,500,575
1548,Carcinoembryonic Antigen (CEA),340,391
1549,Immunofluorescence,150,173
1550,Direct(Skin and kidney Disease),425,500
1551,Indirect (antids DNA Anti Smith ANCA),425,500
1552,Calcidiol / 25-hydroxycholecalciferol / Vitamin D3 assay (Vit D3),550,633
1553,Serum Protein electrophoresis with immunofixation electrophoresis (IFE),300,345
1554,BETA-2 Microglobulin assay (Select CGHS rate code 1536 for approved rate),See code 1536,See code 1536
1555,Anti-Cyclic Citrullinated Peptide (Anti CCP),450,518
1556,Anti-tissue Transglutaminase antibody (Anti TTG Antibody),425,500
1557,Serum Erythropoietin,425,500
1558,Adrenocorticotropic Hormone (ACTH),500,575
1559,"T3, T4, TSH -Thyroid Function Test (TFT)",200,230
1560,Triiodothyronine- T3,64,75
1561,Tetraiodothyronine T4,64,75
1562,Thyroid stimulating hormone (TSH),90,104
1563,Luteinizing hormone (LH),150,173
1564,Follicle stimulating hormone (FSH),150,173
1565,Prolactin,150,173
1566,Cortisol,250,288
1567,PTH(Parathormone),500,575
1568,C-Peptide (C Peptide / Connecting Peptide),330,380
1569,Insulin.,150,173
1570,Progesterone.,225,259
1571,17 Hydroxyprogesterone (17 OH Progesterone),440,506
1572,Dehydroepiandrosterone sulfate (DHEAS),440,506
1575,Thyroid peroxidase antibody (TPO),300,345
1576,Thyroglobulin.,300,345
1577,Hydatic Serology.,318,374
1578,Anti Sperm Antibodies.,380,437
1579,Hepatitis B Virus (HBV) DNA Qualitative,2000,2300
1580,Hepatitis B Virus (HBV) DNA Quantitative.,1500,1725
1580,Hepatitis B Virus (HBV) DNA Quantitative.,1500,1725
1581,Hepatitis C Virus (HCV) RNA Qualitative.,1691,1945
1582,Human papillomaviruse (HPV) Serology,218,251
1583,Rota Virus serology,130,150
1584,PCR for Tuberculosis (TB),900,1035
1585,PCR for Human immunodeficiency virus (HIV),600,690
1586,Chlamydae antigen,850,978
1587,Chlamydae antibody,238,280
1588,Brucella serology,230,265
1589,Influenza A serology,943,1084
1590,USG Obstetrics for Anomalies scan,770,886
1591,USG Whole Abdomen / KUB including post-void residual (PVR),323,380
1592,"Pelvic USG (gynae, infertility, prostate with post-void residual (PVR) etc.",255,300
1593,"USG Small parts ( scrotum, thyroid , parathyroid etc) 349",,410
1594,USG Neonatal head (Transfontanellar),425,489
1595,USG Neonatal spine,500,575
1596,USG Contrast enhanced,900,1035
1597,USG Breast,349,410
1598,USG Hysterosalpingography (HSG),255,300
1599,Carotid Doppler,850,1000
1600,Arterial Colour Doppler,706,830
1601,Venous Colour Doppler,706,830
1602,"Colour Doppler, renal arteries/any other organ",800,920
1603,USG guided intervention- FNAC,490,564
1604,USG guided intervention - biopsy,720,828
1605,USG guided intervention - nephrostomy,800,920
1606,X Ray Abdomen AP Supine or Erect (One film),128,150
1607,X Ray Abdomen Lateral view (one film),128,150
1608,X Ray Chest PA /AP/ Oblique view (one film),60,70
1609,X Ray Chest Lateral (one film),60,70
1610,"X ray Mastoids: Towne view, oblique views (3 films)  250",,288
1611,X Ray Extremities (Hand/Leg/Feet/Finger/Toe)bones & Joints (Hip/ Knee/Ankle / shoulder/ Wrist /fingers,255,288
1615,X Ray Skull AP & Lateral (2 films),255,300
1616,X Ray Spine AP & Lateral (2 films),250,288
1617,X Ray Paranasal sinuses (PNS) view (1 film),110,127
1618,Barium Swallow,510,600
1619,Barium Upper GI study,800,920
1620,Barium Upper GI study (Double contrast),935,1100
1621,Barium Meal follow through,935,1100
1622,Barium Enema (Single contrast/double contrast),850,1000
1623,Small bowel enteroclysis,1020,1200
1624,ERCP (Endoscopic Retrograde Cholangio –Pancreatography),2500,2875
1625,General:Fistulography / Sinography/Sialography/Dacrocystography/ T-Tube cholangiogram/Nephrostogram,638,750
1626,Percutaneous transhepatic cholangiography (PTC),1440,1656
1627,Intravenous Pyelography (IVP),1190,1400
1628,Micturating Cystourethrography (MCU),680,800
1629,Retrograde Urethrography (RGU),680,800
1630,Contrast Hystero-Salpingography (HSG),1020,1200
1631,X ray Arthrography,700,805
1632,Cephalography,150,173
1633,Myelography,2750,3163
1634,Diagnostic Digital Subtraction Angiography (DSA),1749,2011
1635,X ray Mammography,315,370
1636,MRI Mammography,2550,3000
1637,CT Scan Head-Without Contrast,900,1035
1638,CT Scan Head- with Contrast -including CT angiography,1350,1553
1639,CT Scan Chest - without contrast (for lungs),1700,2000
1640,CT Scan Lower Abdomen (incl. Pelvis) With Contrast,1700,1955
1641,CT Scan Lower Abdomen (Incl. Pelvis) Without Contrast,1500,1725
1642,CT Scan Whole Abdomen Without Contrast,3000,3450
1643,CT Scan Whole Abdomen With Contrast,4500,5175
1644,Triple Phase CT abdomen,4500,5175
1645,CT Scan angiography abdomen/ Chest,4500,5175
1646,CT Scan Enteroclysis,6000,6900
1728,Serum ceruloplasmin,450,518
1729,Urinary copper,500,575
1730,Serum homocysteine,450,518
1731,Serum valproate level,315,362
1732,Serum phenobarbitone level,350,403
1733,Coagulation profile,553,636
1734,"Protein C, Protein S, Antithrombin–III (Select CGHS rate code 1413 for approved rates)",See code 1413,See code 1413
1735,Serum lactate level (Select CGHS rate code 1479 for approved rate),See code 1479,See code 1479

